"reference","base_summary","finetuned_summary","original_text"
"Actually works","Great shampoo for psoriasis","Good for psoriasis","My husband has bad psoriasis on his scalp. Nothing made the flaking go away until this shampoo. He only has to wash his hair every other day and no more snow storm on his shirt. I am not a fan of all the ingredients. It has a lot of chemicals in it. We try to do no chemicals in anything. Since this works so well, he will continue to use it but less frequently."
"THis stuff rocks!","Great popcorn!","Great popcorn!","This stuff is great!  We ditched the microwave stuff a while ago.  I don't understand the negative reviews.  I use a heavy bottom stainless steel pot.  Heat the oil(a bit extra does not hurt) pop the kernels, and remove from the stove. Then add a bit of salt and toss the popcorn (with the lid on).  Then add some more oil (remember it is popping oil and topping) and toss again to coat the popcorn.  The result is just like movie popcorn, our family will eat a double batch during one movie.  Walmart does sell this stuff for $3.00 and change."
"Enjoyable, but just not for Me.","Don't waste your money on these candies.","Not enough for what I paid for them","I liked these candies but not enough for what I paid for them. This is possibly due to the fact that I have never had Japanese candy and this being my first experience I may have gone into this with the wrong mindset. I may  be willing to give these a second chance in the future."
"Very sweet, not terribly healthful.","I thought I was doing my kid a favor when I invested in a case of Earth's Best dinners. Unfortunately, the second ingredient (","My kids don't like applesauce.","I thought I was doing my kid a favor when I invested in a case of Earth's Best dinners.  Unfortunately, the second ingredient (after water) for all of these is....applesauce.  Or in the case of the ""Sweet Potato & Chicken"" variety, it's sweet potatoes, followed by apricot puree.<br /><br />After getting used to the sweetness of these (try 'em - they're like jam), it's difficult for kids to adjust to ""real"" food.  From now on, I'm going to stick with just pureeing home-cooked food.  It's a lot cheaper, too."
"Tastes like dirty water","I got this 3 pack because I LOVE Jamaica me Crazy K-cups (which is what I thought they would be) but, regardless, when they","Nothing like Jamaica me Crazy K-cups","I got this 3 pack because I LOVE Jamaica me Crazy K-cups (which is what I thought these would be). But, regardless, when they arrived and I realized they were pods I thought ""Oh well, I can still use them in my Kurig.""... But these taste nothing like the K-cups! I mean, NOTHING. ...dirty water. I can't imagine any kind of single cup brewer somehow magically making these things taste good."
"good coffee","Great coffee at a great price.","Great coffee at a great price","I'm a bit of a coffee snob, but for the price of these beans I had to try them. The beans look great: dark and oily. Just brewed my first pot and it's good. It's not super strong, and maybe that's because this is ""Gold Cup"" (I'm not familiar with all of Cameron's roasts), but fresh out of the pot it's still tasty. Not my favorite because I like a stronger kick, but for the price this is a fantastic buy. Haven't let it sit in the pot for too long yet so we'll see if it turns into gas station coffee in half and hour, but hopefully not."
"Comfort Food without the guilt","I am in heaven eating this mac & cheese. Yes, it isn't as ""flavorful"" as Kraft... but just as","Great Mac & Cheese!","I am in heaven eating this mac & cheese.  Yes, it isn't as ""flavorful"" as Kraft... but just as easy to make...kids love it & I get to eat it too.  It is my ""go-to"" side dish or lunch.  And, it's only 3 pts. (Weight Watchers) for a very satisfying, HUGE serving.  Thank you Fiber Gourmet!"
"Sugar Free Pillsbury Cake Mix","I have been looking for this in my local stores for a long time but since I live in a rural area it wasn't available. I","Great for diabetics","I have been looking for this in my local stores for a long time but since I live in a rural area it wasn't available.  I was thrilled when Amazon offered it since my husband is diabetic and can't eat regular desserts. It is a good base for several desserts other than layer cakes too."
"Pleasant taste, not too sweet","Switch is a fruit juice that has been mixed with sparkling water to give a refreshing flavor.","Switch Fruit Juices","The Switch line of beverages feature fruit juice that has been mixed with sparkling water to give a refreshing flavor.  This one has a mild watermelon flavor with strawberry overtones.  One of the great aspects of Switch is there is no added sugar.  This means that their juices are not overwhelmingly sweet, but instead are thirst-quenching with great fruit flavors."
"Love these but all items in box are stale.","I eat one of these a day and I love them. I decided to order off of Amazon because of free shipping. The entire box is totally","Discolored and gross","I eat one of these a day and I love them. I decided to order off of Amazon because of free shipping. The entire box is totally stale!!!! I know what fresh ones taste like and these are discolored and gross. I can't eat them, what a waste of money. Boo."
"Delightful Earl Grey Tea!","br />St. Dalfour's Certified Organic Earl Grey Tea is made from hand-picked, organic Ceylon tea","Definitely a must-have!","*****<br />St. Dalfour's wonderful Certified Organic Earl Grey Tea is made from hand-picked, organic Ceylon tea. The flavor is enhanced by ""the all natural flavor or bergamot orange"", which added interest and made my tea experience delightful. The orange flavor was subtle, not overwhelming at all. I left the tea bag in as I drank the tea (the whole time, much longer than recommended), which turns most teas bitter, but not this one.<br /><br />St. Dalfour is a French firm that makes natural teas, including this organic tea. There is not a lot of information about them on their web site beyond the basics, but what is there looks good.<br /><br />Earl Grey teas are one of my favorite black teas, so if you are a fan also, this tea is one not to miss. Note that black tea does contain caffeine.<br /><br />Definitely recommended.<br />*****"
"worked perfectly","Spray on the encroaching blackberries.","No more encroaching blackberries","Used this last summer when the blackberries from the neighbor usually try to take over my property. No more having to cut them every week, just did a little spraying on the encroaching branches and stopped them in their tracks, no more hassle. Don't expect this to kill stuff in a day or 2, give it 2 weeks after spraying to see the results."
"My favourite tea by far!","I love this tea! Not only is it good for your immune system but it helps acheive a clear complexion which is why i bought it","Good for your skin","I love this tea! Not only is it good for your immune system but it helps acheive a clear complexion which is why i bought it in the first place. It also is a powerful antioxidant! I highly recommend it if you're looking for beauty on the inside and out!"
"Nectar of the Gods","I highly recommend this product and would also recommend mint tea ( as hot and strong as you can stand it) sweetened with a touch of honey.","Good for the kids","I have three children in my home all under 6.  Needless to say the kids have a knack for bringing home cold a flu bugs every few weeks.  After taking Emergen-C I have not been sick at all.  I also don't take the whole recommended dose either.<br /><br />I take a packet once a day before bedtime and it seams to do the trick.  I highly recommend this product and would also recommend mint tea ( as hot and strong as you can stand it)  sweetened with a touch of honey.<br /><br />Every year here in the Pacific Northwest and all across the snow belt cold a flu can really become a serious thing.  Supplements that are truly absorbed by your body really make a big difference.<br /><br />This product also seams to work even better than Airborne"
"The BEST!","We are on a NO MONSANTO diet, so we seek out organic grains that are not grown with Monsanto's Frankin","Great popcorn!","We are on a NO MONSANTO diet, so we seek out organic grains that are not grown with Monsanto's Frankinseeds. Plus we seek organic whenever possible because we believe they are healthier and we know they taste better. This popcorn is wonderful. It pops up light and flavorful with a deep old fashioned popcorn taste that modern popcorn can't touch. After eating Amish popcorn for so long, I began to doubt my tastebuds. Is it really that good? I thought. So I tried some Orville R. I popped in my regular way and I tried some microwave. Both tasted like salty styrofoam compared. There IS a difference.<br /><br />Tips:<br /> We don't like air popcorn so I use a round, domed popcorn maker, I think Amazon sells it. Use coconut oil instead of vegetable oil. It is outstanding, and tastes like movie popcorn did a long time ago. I was told that before coconut oil became a health food fad, it was dirt cheap and that movies used it to pop their popcorn (when they used to have giant popcorn machines in the theater). I also use butter sometimes. Yeah, it's me and Julia Child against the world.<br /><br />For another really good taste, sprinkle on Spike instead of salt. It's amazing.<br /><br />Use popcorn salt instead of regular. It is finer and sticks to the popcorn better. I take Kosher salt and put it into a coffee grinder (not used for coffee) to make popcorn salt, but you can buy it, maybe from Amazon. I haven't checked.<br /><br />Keep the popcorn you are not going to use within a couple of months, in the freezer so they don't dry out. Dried out kernels don't pop very well."
"Delcious and Ready For Spring & Summer","Pink lemonade is one of my all time favorite drinks, so when I saw Pilsbury had this beautifully pink ""Pink Lemonade""","Pink Lemonade Frosting","Pink Lemonade is one of my all time favorite drinks, so when I saw Pilsbury had this beautifully pink ""Pink Lemonade"" frosting, I had to get it. I paired it with their ""Pink Lemonade"" cake mix.<br /><br />I think I died and went to pink lemonade heaven! Actual lemon flavoring gives this just a hint of tartness, while the sweetness drives you mad! The gorgeous pink color says ""Easter"" and ""Spring""!<br /><br />Perfect for dessert for the family, or the ladies tea.<br /><br />I highly recommend this yummy frosting! [Try it with the cake mix too!]"
"Nice healthy snack","This is a great healthy snack.","Great Healthy Snack","Bought this after a friend gave one to me. Found it to be cheaper here in Amazon. This sesame snack is tasty.Not too sweet. I am not really a health buff but this is one option to have a healthy snack compared with doses of potato chips that I have been having lately. The only drawback that I had was having to eat this with braces on. I lost a bracket just by biting this. I had to be careful the next few bites. Overall, a great healthy snack."
"very good rice","Do not overcook this rice.","Overdone rice","I buy this from Amazon because our local grocery stores do not carry any form of this rice. Just do not overcook this. I tried it in a rice cooker so it would be done when I came back home. It was way overdone -  just follow directions on the box."
"Excellent strong coffee","Watery compared to the Senseo. I actually like the dark roast better than this, but the rest of my crew thinks it's","Watery compared to the Senseo","Just experienced a weekend of Keurig coffee.  Watery compared to the Senseo.  I actually like the dark roast better than this, but the rest of my crew thinks it's too strong.  We drink A LOT of this in my office.  Once you start with Senseo coffee the other stuff tastes like dishwater"
"delicious and addictive!!!","i'm a big fan of spicy food, and this is one of my favorites.","great stuff!","i ran across this over the winter and spread about 1/3 of it over a block of cream cheese and served it with crackers. guests ate it up and asked where i got it.<br /><br />i quickly ran out and inadvertently threw the jar away before jotting down the name. went back to where i got it (an emporium), and it was gone. just found it again, and i am ordering several to have for parties as well as to give as gifts.<br /><br />this stuff is fantastic!!!<br /><br />i, too, am not a fan of spicy, but when you serve it on cream cheese, it keeps it calm for the palate.<br /><br />highly recommended!!!"
"Thick oats; not too sweet...","This granola is sweet, but not overly so. There is a very light taste of coconut and sesame.","Sweet, but not overly so","These oats are nice and thick (like all Bob's red mill granola).  This granola is sweet, but not overly so.  There is a very light taste of coconut and sesame.  There are not too much of either in the granola so if you want a super coconut filled granola you'll have to look elsewhere.  However, I find that there is just enough coconut and sesame to make this a perfect breakfast/snack granola."
"Great cookies!!","I received a sample of this product to test from Influenster. The Quaker Soft Baked Oatmeal Cookies were much more moist","Great for kids!","I received a sample of this product to test from Influenster.The Quaker Soft Baked Oatmeal Cookies were much more moist then other brands. Also I like the fact that it's made with whole grain quaker oats and it provides a good source of fiber. These are a great thing for kids to eat!! [...]"
"Finally! :)","I've tried a lot of sleeping pills, but this one worked for me.","Good for a good night's sleep","Like everyone on here I always have a hard time sleeping. Maybe 2-4 hours a night. I hate sleeping pills and have tried everything natural. The first time I tried this I was soothed into peaceful sleep. I had really awesome dreams too. Slept 8 hours. The 2 most important things about this drink<br />1. I actually slept through the entire night (which never happens)<br />2. I didn't feel groggy at all in the morning.<br /><br />I use it once or twice a week now. The store near my house just had them on sale for $1.99 a bottle! Good deal for a good night's sleep.<br /><br />You should seriously consider trying this if you have trouble with sleeping."
"My Favorite Hot Chocolate","I love The Coffee Bean & Tea Leaf's Special Dutch Chocolate Powder. I've tried many hot chocolate drinks, and this special Dutch chocolate powder","The Coffee Bean & Tea Leaf's Special Dutch Chocolate Powder","I love The Coffee Bean & Tea Leaf's Special Dutch Chocolate Powder. I've tried many hot chocolate drinks, and this special Dutch chocolate powder is one of the best. It's flavorful, smooth, and doesn't leave much residue in my mug after I'm done with the hot chocolate. The 22 oz. container is the perfect size to serve your whole family, and it lasts for a while. And you can use the nice container for other stuff after the chocolate powder is gone. This Coffee Bean and Tea Leaf Dutch Chocolate Powder mix is multi-functional as well. On the container, there are recipes for not only Hot Chocolate but also Cafe Mocha and Coffee Bean & Tea Leaf's Original Ice Blended Coffee drink. The chocolate powder contains 15% calcium, 4% vitamin C, 2% iron, and five grams of protein per serving size. Since there are no Coffee Bean & Tea Leaf stores near where I live, it's great to order Coffee Bean & Tea Leaf products online through Amazon or The Coffee Bean & Tea Leaf's website. I also highly recommend The Coffee Bean & Tea Leaf's Vanilla Caramel flavored coffee, Raspberry Cream flavored coffee, Limited Edition Blueberry Streusel flavored coffee, Blueberry Peach Green Tea, Spring Peach Oolong, and Lemon Chamomile. Anyways, I give a big thumbs up to the Dutch Chocolate Powder mix!"
"Best brown organic brown rice I have had!","Great rice!","Best brown rice I've ever had!","I just picked this up at my local grocery store because it was the only organic brown rice they had and I was pleasantly surprised! It cooks really well, not sticky at all (I use a bit of coconut oil and cook it in organic vegetable broth.) Tastes great! I am not typically a brown rice lover but this kind was really good. My kids and husband ate it and asked for seconds as well. Was delighted to see it on Amazon and for such a great price with subscribe and save so I just stocked up!"
"Avoid these treats!!","We got these at Costco, but same brand and size. Our dog didn't get sick immediately, but a friend at the dog park mentioned","Our dog urinated 3-4 times in the morning and in the evening","We got these at Costco, but same brand and size.  Our dog didn't get sick immediately, but a friend at the dog park mentioned some issues with this brand so we looked around and saw mixed reviews, but most of the really bad reviews were old (2007 or so), so we didn't stop giving them to her altogether, although we didn't give her many either, although she seems to love them.<br /><br />A few days/weeks went by, and then last week we noticed that she was peeing 3-4 times in the morning and in the evening, when she normally would go 1 or 2 times depending on how much running around she did.  At that point we decided to stop giving her any of these treats, and within a few days she was back to normal.  Since other people complaining about these treats mentioned renal failure, and urinating often is a sign of this condition, I'm assuming there's a direct connection as it was immediately after giving here these treats that she started having any issues/conditions with urination."
"Great alternative pasta","This is a great pasta. I want an alternative to whole-wheat pasta, which I do not care for, and this was far better","Excellent tasting pasta","This was excellent tasting pasta.  I wanted an alternative to whole-wheat pasta, which I do not care for, and this was far better than I hoped.  I like this as much as regular white pasta.  It has a great taste and nice texture. I will be buying it again.<br /><br />It is not hard to cook.  I boil the water.  I use less water than the box recommends because my favorite pasta pan is smaller.  I put enough to cover it at least an inch and a half.  I add a bit of salt, about a teaspoon (less for pesto and more for some tomato recipes).  When the water boils, I add a splash of olive oil and the pasta.  I boil it 8 minutes. Add sauce of choice."
"Ew, Gross, Nasty!","I would never buy this! I couldn't bring myself to put more than that in my mouth! The Aloe Vera feels like little gel","I don't know what to say about this!","I know, mature title.  Couldn't help it, those are the nicest words I can use to describe this stuff!  I could only take one taste, couldn't bring myself to put more than that in my mouth.  The Aloe Vera feels like little gel balls.  I gave it to my husband to try.  He had the same opinion and that's rare, we never agree on anything!  I would never buy this, I will never put this in my mouth again and wouldn't wish it on anyone else!  Enough said!"
"Excellent product to help win the battle of getting kitty to take her pills.","This is one of the best inventions I've ever used--a product that actually makes your cat WANT to take his/her pills!","This is one of the best inventions I've ever used--a product that actually makes your cat WANT to take his/her pills!","This is one of the best inventions I've ever used--a product that actually makes your cat WANT to take his/her pills!  Just put the pill inside the pocket, and mold the soft treat around the pill.  Give to your furry friend, and enjoy a safe, drama free pill delivery.  If only I knew about this when my cat, Jack, needed heart medication.  It would have saved both feline and owner much drama."
"HOLY MACKEREL!","I am officially addicted! I just bought a jar of this heavenly yumminess and I am a peanut butter convert! (","I am a peanut butter convert!","OH.MY.GOD. I AM OFFICIALLY ADDICTED! I just bought a jar of this heavenly yumminess and I am a peanut butter convert! (as in I've officially converted to peanut butter for life) could this be any yummier? this is seriously like dessert that i could shovel in my mouth forEVER! can i just say that i have eaten well over three servings of this stuff? BE WARNED scoop out a well-proportioned chunk of this stuff or you will not be able to fit into those jeans the next day. oh who am i kidding, i'd just eat 3 more of those servings. I also think I'm on a slight sugar rush. *swoon*"
"everything you want for your little one","I was sad when I wasn't able to breastfeed anymore when I became pregnant again(lost my supply) and picking a formula was","Earth's Best Organics","I was sad when I wasn't able to breastfeed anymore when I became pregnant again(lost my supply) and picking a formula was hard. After much research I found Earth's Best organics to be a very easily accessible organic formula, the transition was easy and my baby has no trouble digesting it. It's great choice you can feel good about giving your baby. I would recommend it for any mom who is unable to breastfeed, but if your baby's not here yet and you're looking at formulas, remember 'breast is best' and always try that first."
"Tasty low cal cocktail","You can't go wrong with tequila.","Very tasty margarita mix","This is a delicious margarita mix alternative.  You can even taste the hint of salt and lime in it.  Very tasty, indeed.  Without alcohol, its a mere 5 calories, but what's the point? For me, I like margaritas because of the tequila.  So, I did some math and mixing.  Adding 1 cup (8 ounces) of Jose Cuervo Especial to the 2 quart mix makes each 8 ounce glass approximately only 70 calories (each 1 ounce of tequila is 65 calories).  This is more than 70% less calories than in a standard Jose Cuervo margarita which is 240 calories per 8 ounce glass.  How awesome is that?  Thanks Crystal Light, another product well done."
"Cats Love It!","Bench & Field's Holistic feline formula","Holistic feline formula","We have three very different and fussy cats and Bench & Field's Holistic feline formula satisfied them all.  One cat has been on very expensive ""bladder control"" formula for a long time.  Since we introduced this product four months ago she has had no bladder problems.  The only down side of this product is they all love it and beg for more."
"Great Gum!","Great flavor!","Great flavor!","I just got this product from amazon.com and it is great! It arrived 3 days before the estimated arrival time. I ordered the green tea flavor and it is fantastic. Direct flavor only lasts about 2 minutes but the after flavor will linger in your mouth over half an hour while still chewing. Gum pieces are pretty small but at $8.25 for 100 pieces just pop two in!"
"Best snack ever!","I'm a big fan of these almonds. They're the best tasting almonds of the bunch. The butter toffee tastes natural","Best tasting almonds of the bunch","I got these at my local Publix. They're the best tasting almonds of the bunch. The butter toffee tastes natural and the almonds are of good quality. They also make dark chocolate covered almonds. They taste like Cocoa Puffs but are still pretty good if you're looking for a cocoa kick instead."
"Not as bad as the Mojitea","I have never been so motivated to jump online and review a product. There is nothing delicious or refreshing about this tea, and the only reason I gave","Not a fan of this tea","I have never been so motivated to jump online and review a product.  There is nothing delicious or refreshing about this tea, and the only reason I gave it two stars is so that I can save the one star rating for the Mojitea.  I'm not sure how they combined basically yummy ingredients to create a gross beverage, but I wonder if anyone taste-tested this before it was put on the market.  The flavor is overwhelmingly honey with a hint of black tea, but not sweet pure honey flavor, more like the stuff you might lick off the dirty floor of the room where the honey is removed from the comb.  Yuck!"
"I like this...","It's not cheap, but it tastes good. I bought it to use in meals for my mother, who has been confined to bedrest and","Good for diabetics","This product isn't cheap, but it tastes good. It tastes a lot like brown sugar, in my opinion.<br /><br />I bought it to use in meals for my mother, who has been confined to bedrest and was recently diagnosed as a diabetic. So far, I have only used it to make a lower-carb poppyseed dressing for the chicken slaw she likes so much. When the weather is cool enough to bake, I'd like to make her some coconut meringues using partly this sugar, and partly something else such as Splenda or xylitol.<br /><br />My mom takes Glucophage and has had fairly good blood sugar levels when she eats reasonably, so I'm probably not the best qualified to comment as to how it could affect someone whose diabetes is more severe.<br /><br />My only suggestion would be for the company to consider going with a different bag, since the zip-close top on this doesn't work, and I'm keeping it in another bag. FYI, the carbs listed for this product are the same as regular brown sugar, although I understand different carbs metabolize differently."
"No more hairballs","Great for my cat!","My cat loves this food!","My 13 year old male cat had a lot of problems with hairballs and vomiting.  We had tried several foods (including those specifically for hairballs) and none of them helped.  Since he started eating this food about a year ago, things have been greatly improved.  It's only very rare that he will vomit or have hairball issues anymore.  Also, his coat is shiny and he seems to love the taste!  I definitely recommend this food."
"Best flavor - not too weak - doesn't curl your hair","Great tasting coffee!","Great tasting coffee","Over the last year and a half we have been trying all different coffee for our Keurig and making our friends and family do a taste test whenever they drop in.<br />This coffee far and away won everyone over except uncle Pete who likes his coffee to look like chocolate syrup and make your eyes pop.<br />Mild but not weak. Great tasting.  The only coffee we will be serving at our house from now on. I have just put it on auto delivery. Love it !"
"Funny not really spooky","This is a good movie, but it's not as scary as Freddy's or Jason's.","Not too scary, but not too scary","The humor is definitely there, my favorite part at the dinner table and they are all singing. Not too scary depending on age I guess. When I was a little kid I was already watching freddy and jason movies with my dad so this movie was nothing to me when i got around to watching it.  I like the plot but felt that beetlejuice should have had a bit more screen time."
"Tasty Treat","Try the South Beach Diet Bar (Dark Chocolate) if you're trying to lose weight.","The South Beach Diet Bar (Dark Chocolate)","The South Beach Diet Bar (Dark Chocolate) offer a tasty but relatively healthy treat.  It has a rich though not overly sweet taste and is fiber rich while low on calories.  Don't expect it to taste like candy - this is a granola bar, after all - but it does offer a rare treat for those trying to lose weight.  While the heavier fiber intake may make it a little bit of an acquired taste, the chocolate makes it a lot easier to acquire.  If the rest of losing weight could only be this easy!"
"The Best Mix I've Ever Tried!","Best waffle mix I have ever tried!","Best waffle mix I have ever tried","The first time I tried this mix was at a hotel a couple of years ago. It was so great I had to write the name of the mix down and look it up online. I've had it several times since then at other hotels but never actually got around to ordering it and in the meantime have tried multiple homemade recipes and store bought mixes hoping to find something as delicious. Well, I never did and simply put... this is hands down THE BEST mix I have ever tried! I finally ordered a case and took it on a family vacation for breakfast. All twelve of my family members thought it was great too. I love the sweet flavor of it and the waffle itself actually tastes good without having to put a bunch of syrup on it (even though I still do). It's great!"
"VEGANS are great","I ordered these from Amazon and she took the rest of them back to Seattle, Wa. Great Success story. Hope to find other varieties..","Great Vegan Snacks","Not all vegan snacks are that good but my daughter was recentley diagnosed with a dairy allergy.  She was coming home and we live in a small town with no access to better quality vegan snacks.  I ordered these from Amazon and she took the rest of them back to Seattle, Wa.  Great Success story.  Hope to find other varieties..  BK Richardson"
"Awesome Set","Love them!","Great Potatoes","I had a set that I bought from some catalog a few yesrs ago.  Didn't think would ever find them again.  I use them to make baked potatoes in the microwave.  Just rub them with alittle margarine and they are quick and just wonderful.  Real soft and juicy.  Alot quicker than the oven and just as soft and juicy.  Love them..."
"Cool Feeling","I've been using this shampoo/conditioner for the last couple weeks and it's without a doubt the best dandruff shampoo","Best dandruff shampoo/conditioner","I've been using this shampoo/conditioner for the last couple of weeks and it's without a doubt the best dandruff shampoo/conditioner that I have come across--better than Head and Shoulders.<br /><br />While it's not as highly medicated as Head and Shoulders, it's just as effective and my hair doesn't feel weighed down or sticky.  Also, my hair is softer and my scalp feels like it can breath."
"Small plant not even close to 9 inches","This is a really small bonsai. Not worth the money I have spent including the shipping. This one is close to 5 inches including the","Not worth the money I have spent","This is a really small bonsai. Not worth the money I have spent including the shipping. This one is close to 5 inches including the pot. The plant itself is close to 2.5 inches.<br />I want the money back on this item.<br />If I could rate it with NO stars I would have."
"Still have not received this item","0","0","The rating above should be ""0"" because:<br /><br />I'm very glad you offer this ""Review"" feature as it has been quite some time since I ordered this item and still have not received it!  And I do not have the information about who I ordered it from to follow up.  Please help.<br /><br />Thank you..."
"Makes delicious Fettuccine Alfredo","Great fettucine alfredo!","Great fettucine alfredo","My mom made fettucine alfredo out of these noodles and it was delicious. I expected it to have a weird taste or be like chewing rubber bands but it wasn't at all! I know these noodles have A LOT of negative reviews, but what do you expect from something that is calorie free? I would rather eat these than regular noodles, my husband would too because he can't have gluten.<br />Give these a chance and be sure to follow the instructions when preparing. I will be ordering these soon."
"chocolate brookside","The taste is okay but the product is okay if you consider it candy and not a health supplement.","Taste is okay but not a health supplement","The taste is okay but I think it would be much better if there was more fruit in it.<br /><br />2 pounds is an awful temptation also.  I ended up giving these away because I felt guilty about the calories but the product is okay if you consider it candy and not a health supplement."
"Didn't last long...","Great fudge, but not the best I have had.","Great fudge, but not the best of the bunch","My grandmother used to make homemade chocolate walnut fudge, and it was delicious.  I recently had a craving for it but grandma was otherwise occupied, so I bought this, but wasn't really expecting it to be as good as homemade.  I was pleasantly surprised.  This is very good fudge--not perfect, but irresistible nonetheless and the two of us ate the entire package in less than a week!  The flavors with walnuts/pecans aren't chock-full but have enough pieces, of large enough size, to get a good taste in every bite.  The maple and vanilla are both very sweet but I also thought they were the best of the bunch--rich, sweet, creamy, and the maple flavor was excellent. The vanilla flavor didn't come through quite as strong, it tasted more like generic ""white"" chocolate/fudge, but was delicious.  The chocolate was good, but not remarkable.  I would say it was worth the money, but not the best I have had.  The peanut butter had a good peanut butter flavor and was extremely rich--something about the flavor seems a little bit off, and this was definitely my least favorite of the bunch, but with that being said we still finished it off and overall were pleased with the purchase.  If you are buying it with your heart set on the peanut butter, I might look elsewhere.  Otherwise, I would recommend.  I would feel good about giving this as a gift as well to someone who enjoys rich, sweet candy."
"No celery, hooray !","This is the only soup I can find that doesn't have any celery.br />I read that cooked celery is bad","This is the only vegetable type soup I can find that doesn't have any celery.","This is the only vegetable type soup I can find that doesn't have any celery.<br />I read that cooked celery is bad for you. Raw celery is good.<br />This soup tastes good with bread and mayonnaise.<br />It only has 135mg sodium per serving. Compare that to 890mg in Campbell's vegetable soup.<br /> It also has broccoli and tomatoes in it. That combination has been recently discovered to shrink prostate tumors. But more than a cup of each is recommended."
"Diabetics, this is for you!","This cake is so moist with a rich vanilla flavor. I made a cake and had a piece and then froze the rest in","Best cake I've ever had!","This cake is literally BETTER than the sugar kind! It is so moist with a rich vanilla flavor. I made a cake and had a piece and then froze the rest in individual pieces for next time I need a ""sugar"" fix. You will not miss a thing as far as cake goes...it's soooooo good!"
"Agility and obedience training treats","My dog has been blowing her contacts in agility trials, and my friend suggested using these special treats ONLY when training the dog walk, A-frame,","My dog has been racing to the contacts in agility trials","I ordered the Merrick lamb lung treats on the advice of a dog agility friend who had great success with them.  My dog has been blowing her contacts in agility trials, and my friend suggested using these special treats ONLY when training the dog walk, A-frame, table, and see-saw.  After just two training sessions, my dog is once again racing to the contacts and sticking them.  My fingers are crossed that this behavior will carry over to the trials, but with the help of a clicker and these apparently very appealing treats, I'm seeing renewed confidence and enthusiasm.  They're expensive, but are a bargain compared to the wasted trial entry fees and travel costs.  I'm also going to use them as I begin very basic obedience training with our new rescue dog."
"The Best Sugar Cubes","I have been buying the La Perruche brown sugar cubes for years. They have a subtle molasses/honey flavor","Love the cubes!","First of all huge thanks to Amazon. I ordered the cubes on 8/23 and they arrived 8/23, WOW!<br /><br />I have been buying the La Perruche brown sugar cubes for years. The cubes have a subtle molasses/honey flavor and go well with my freshly brewed morning coffee. I used to be able to get the cubes at Whole Market or Whole Foods but not anymore so thankfully Amazon sells them. There is so much publicity about sugar being unhealthy, but I think of these cubes as being the ""healthy sugar""."
"Hotter than the Spicy One!","If you're a fan of hot sauce, you'll love the Chipotle Habanero.","Chipotle Habanero","We've been buying the Country Cut beef jerky for almost 2 years.  It's definitely the most moist(and tender on your teeth) of the variations they offer IMO.  As for this, if you are one of those people who love Asian inspired ""hot"" foods and have no problems with a searing burn in your mouth, the Chipotle Habanero is right up your alley.  If you are one of those people who can drink hot sauce(like Louisiana Hot Sauce) like nothing but want something more spicier, then Spicy is more at your level.  They are not kidding when they call this one Habanero.  It's delicious but HOT!  Be forewarned :P"
"My baby developed lump in breast when using this product.","Don't give this product to your baby.","My 15 month old daughter developed a lump in her breast during the time I was giving her this product","I decided at 12 months to supplement my breastmilk with what I thought was the cleaner formula option on the market.  Unfortunately, I didn't realize that the use of soy in this product could have a negative impact on my kiddo.  My 15 month old daughter developed a lump in her left breast during the time I was giving her this product.  I brought her to my ""green"" pediatrition and he suggested I take her off from soy to see what would happen.  The lump went away, as did this product from our home.  I started to supplement with goats milk and we have had no further issues.  I know that this won't be every person's experience but for parents who are trying to do their research, know that this can occur, organic or not."
"Delicious comes at a price","I'm a big fan of rabbits, and this is one of the best I've ever had.","The best rabbit I've ever had!","Sure, it might be a little expensive, but trust me when I say it's completely worth it. A full-blown cow might not cost $43.50, but if you think a thousand pounds of bland, worthless cow meat compares anywhere near this 3 lb (1.4kg) succulent morsel, you've got another thing coming. The instant I took my first bite into this rabbit, I literally came in my pants. It's just that incredible. There was no warning, no time to react, just pure unadulterated joy enveloping my entire body. I don't care if I have to spend my first-born's college fund to get it, I NEED the unique nutty flavor of this fresh whole rabbit!<br />I've noticed some distain regarding the unethical treatment of these rabbits, but the rest of us know that rabbits don't feel pain. I would bet money that these rabbits are proud to serve their human masters. We give them a good life on the farm, eating the finest quality carrots, mating with the most beautiful females in the modern rabbit world. Giving their lives to please a superior race is really all these little critters want in life.<br />Bottom Line: 5 stars isn't nearly enough for this product. I went as far as to draw 5 more little gold stars on my screen just to clear my conscience."
"Not bad if you have acid issues","I don't have much in the way of acid issues with coffee, but at times when I'm binge-ing on coffee I sometimes get","Not as good as folgers or other cheapie coffees","i don't have much in the way of acid issues with coffee, but at times when i'm binge-ing on coffee i sometimes get that burning in my gut.  Is this a better way to feed my addiction?<br /><br />if i'm a pragmatist, it seems like it's easier on my body.  i didn't have any issues drinking this.<br />if i'm in an ""i love the smell and taste of coffee mood"", this isn't my choice.  the smell of coffee before brewing is less than wonderful.  in fact, i would say it's distasteful.  it didn't make me want to brew a cup.  Nevertheless, I brewed a cup to check it out and was pleasantly surprised by the taste.  it brews a pretty mellow, smooth cup of coffee.  It's not incredibly flavorful, no subtle hints of this or that, but it's many steps above folgers or other cheapie coffees.<br /><br />In sum, it's not as good as premium coffees,but if you miss the taste because of acid issues, this is a good option."
